Time (s),Location - X (cm),Location - Y (cm)
40.73,65.98,10.13
40.89,65.58,13.26
41.06,65.78,18.41
41.21,66.23,21.72
41.39,66.43,30.61
41.53,66.61,40.72
41.69,67.00,53.41
41.85,67.29,63.27
42.00,67.74,71.86
42.16,68.74,82.74
42.32,69.02,91.39
42.49,68.72,96.89
42.65,68.52,101.30
42.80,68.60,104.14
42.96,68.61,105.59
43.12,68.60,105.83
43.28,68.65,106.76
43.43,70.97,110.34
43.59,74.21,111.18
43.75,76.93,110.11
43.92,83.17,109.90
44.07,92.10,109.71
44.23,103.85,109.42
44.39,116.34,108.80
44.55,130.33,108.31
44.70,144.87,107.69
44.85,160.20,107.32
45.01,176.01,106.94
45.17,190.70,106.77
45.32,205.38,106.72
45.48,220.09,106.69
45.65,234.49,106.74
45.80,240.73,108.99
45.95,241.61,103.60
46.11,254.34,106.26
46.27,249.66,104.82
46.44,250.98,105.02
46.59,251.25,104.49
46.74,249.46,104.62
46.91,248.26,104.90
47.08,247.79,104.98
47.22,247.91,104.97
47.38,248.12,104.94
47.55,248.20,104.93
47.71,248.26,104.92
47.86,248.13,104.94
48.02,248.65,103.26
48.18,248.47,100.12
48.34,247.71,96.72
48.50,247.11,90.98
48.66,246.54,82.86
48.81,245.47,72.61
48.98,244.12,60.22
49.12,243.64,51.69
49.29,241.77,43.38
49.45,239.89,32.96
49.60,240.31,26.58
49.76,241.31,20.97
49.92,241.34,17.19
50.08,240.20,10.82
50.24,236.93,5.83
50.40,230.15,4.30
50.57,222.06,4.22
50.72,214.22,3.57
50.88,203.97,2.77
51.04,190.08,1.91
51.19,175.55,1.36
51.36,160.45,1.33
51.51,153.18,-0.48
51.67,152.51,2.05
51.83,149.07,13.79
51.98,145.66,12.86
52.14,143.62,12.45
52.30,140.59,11.62
52.46,136.50,10.33
52.63,134.81,9.91
52.79,133.16,9.58
52.93,132.25,9.40
53.08,131.03,9.13
53.24,130.85,9.10
53.40,130.03,8.98
53.57,129.91,8.93
53.72,129.29,11.53
53.89,128.92,14.76
54.04,129.35,16.30
54.20,130.42,25.13
54.36,131.68,29.57
54.51,131.38,31.65
54.67,130.95,41.14
54.84,131.40,49.90
55.00,131.85,55.76
55.16,132.54,62.07
55.31,132.81,68.32
55.47,132.49,72.16
55.64,132.33,74.85
55.78,132.43,76.18
55.94,132.47,77.13
56.13,132.51,77.57
56.27,132.53,77.18
56.43,132.55,76.86
56.59,132.53,77.37
56.74,132.91,78.19
56.91,135.19,78.44
57.07,138.60,78.04
57.23,143.67,77.53
57.37,151.36,77.49
57.53,162.27,77.44
57.69,173.81,76.99
57.84,187.53,76.70
58.01,202.10,76.32
58.16,217.49,76.03
58.32,232.68,75.91
58.47,247.93,75.77
58.63,262.60,75.75
58.79,277.26,75.76
58.96,291.01,78.55
59.11,289.95,75.64
59.27,292.47,72.90
59.43,300.47,76.60
59.59,295.64,74.55
59.76,295.66,74.79
59.91,294.39,74.67
60.06,294.07,74.89
60.22,293.04,74.74
60.37,293.19,74.76
60.53,293.06,74.75
60.69,292.38,74.61
60.85,292.60,74.52
61.01,292.18,74.46
61.16,292.45,73.52
61.32,293.13,70.09
61.48,292.17,69.84
61.64,291.56,64.85
61.79,291.23,57.80
61.95,290.97,47.88
62.11,289.75,36.89
62.26,289.41,27.93
62.42,287.92,19.39
62.58,285.01,17.62
62.75,283.54,19.01
62.91,284.78,18.81
63.06,284.58,19.18
63.23,285.68,23.22
63.38,286.87,26.08
63.54,287.06,27.62
63.70,286.79,28.27
63.85,286.26,29.31
64.01,286.15,30.83
64.17,286.10,31.31
64.32,286.08,31.17
64.48,286.04,31.00
64.64,285.92,31.71
64.80,284.59,31.42
64.96,282.59,31.49
65.11,278.96,32.03
